id_num,item_area_num,item_area,item_title_num,item_title,item_content,usage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,배경변인,1,AI/디지털을 한마디로 하면?,SW/AI/디지털 하면 떠오르는 것은?,3,,,,,,,,,,,,,,,,,
1,1,배경변인,2,시도,소속 시도는 어디인가요?,1,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
2,1,배경변인,3,경력정도,교육 경력은 어떻게 되나요?,1,1~5년,6~10년,11~15년,16~20년,21~25년,26~30년,30~35년,36년이상,,,,,,,,,
3,1,배경변인,4,학교급,소속 학교급은 무엇인가요?,1,유치원,초등학교,중학교,고등학교,,,,,,,,,,,,,
4,1,배경변인,4,학교급,"중학교인 경우, 종류는 무엇인가요?",1,일반 공립/사립중학교,예술중학교,국제중학교,기타,,,,,,,,,,,,,
5,1,배경변인,4,학교급,"고등학교인 경우, 종류는 무엇인가요?",1,일반계고,자율형고,특성화고,외국어고,과학고,국제고,예술/체육고,마이스터고,영재고,기타,,,,,,,
6,1,배경변인,5,담당교과목,담당 교과목은 무엇인가요?,3,,,,,,,,,,,,,,,,,
7,2,연수실태(참여정도),6,컴퓨팅사고력에 연수 경험,컴퓨팅사고력 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
8,2,연수실태(참여정도),7,AI/SW교육에 대한 연수 경험,AI/SW교육 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
9,2,연수실태(참여정도),8,디지털 리터러시에 대한 연수 경험,디지털 리터러시 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
10,2,연수실태(참여정도),9,디지털 기반 교수설계에 대한 연수 경험,SW/AI/디지털 활용 교수설계 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
11,2,연수실태(참여정도),10,(기타) SW/AI/디지털 관련 연수 경험,"위 주제 외에, SW/AI/디지털 관련해 받았던 연수 내용은 무엇인가요?",3,,,,,,,,,,,,,,,,,
12,3,역량인지,11,컴퓨팅사고력에 대한 역량 인지,컴퓨팅사고력에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
13,3,역량인지,12,AI/SW교육에 대한 역량 인지,AI/SW교육에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
14,3,역량인지,13,디지털 리터러시에 대한 역량 인지,디지털 리터러시에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
15,3,역량인지,14,디지털 기반 교수설계에 대한 역량 인지,SW/AI/디지털 활용 교수설계에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
16,4,연수실태(부족/충분여부),15,컴퓨팅사고 연수 실태,컴퓨팅사고력에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
17,4,연수실태(부족/충분여부),16,AI/SW교육 연수 실태,AI/SW교육에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
18,4,연수실태(부족/충분여부),17,디지털 리터러시 연수 실태,디지털 리터러시에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
19,4,연수실태(부족/충분여부),18,디지털 기반 교수역량에 대한 실태,SW/AI/디지털 활용 교수설계에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
20,5,연수내용요구(AI/SW교육역량),19,AI 역량에 대한 연수 요구,인공지능 개념과 원리 이해에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
21,5,연수내용요구(AI/SW교육역량),19,AI 역량에 대한 연수 요구,데이터 분석과 시각화에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
22,5,연수내용요구(AI/SW교육역량),19,AI 역량에 대한 연수 요구,빅데이터와 머신러닝에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
23,5,연수내용요구(AI/SW교육역량),20,AI 융합 교수 역량에 대한 연수 요구,인공지능 융합 교육 방법 및 평가에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
24,5,연수내용요구(AI/SW교육역량),21,AI 활용 교수 역량에 대한 연수 요구,인공지능 활용 교육 방법 및 평가에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
25,5,연수내용요구(AI/SW교육역량),22,SW 역량에 대한 연수 요구,SW에 대한 개념과 원리 이해에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
26,5,연수내용요구(AI/SW교육역량),23,SW 융합 교수 역량에 대한 연수 요구,SW 융합 교육 방법 및 평가에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
27,5,연수내용요구(AI/SW교육역량),24,SW 활용 교수 역량에 대한 연수 요구,SW 활용 교육 방법 및 평가에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
28,5,연수내용요구(AI/SW교육역량),25,SW 리터러시에 대한 연수 요구,SW 리터러시 개념 및 교육 방안에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
29,6,연수내용요구(컴퓨팅사고력),26,컴퓨팅사고력에 대한 연수 요구,컴퓨팅 사고력의 개념과 배경에 대한 연수가 어느정도 필요하다고 생각하나요? ,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
30,6,연수내용요구(컴퓨팅사고력),26,컴퓨팅사고력에 대한 연수 요구,컴퓨팅 사고력 교수학습 방법에 대한 연수가 어느정도 필요하다고 생각하나요? ,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
31,6,연수내용요구(컴퓨팅사고력),26,컴퓨팅사고력에 대한 연수 요구,컴퓨팅 사고력 평가 방법에 대한 연수가 어느정도 필요하다고 생각하나요? ,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
32,6,연수내용요구(컴퓨팅사고력),26,컴퓨팅사고력에 대한 연수 요구,컴퓨팅 사고력 융합 교육 방법에 대한 연수가 어느정도 필요하다고 생각하나요? ,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
33,7,연수내용요구(디지털리터러시),27,디지털 리터러시에 대한 연수 요구,디지털 리터러시 교육의 방향(의미와 현황 등)에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
34,7,연수내용요구(디지털리터러시),27,디지털 리터러시에 대한 연수 요구,디지털 기기와 SW 활용에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
35,7,연수내용요구(디지털리터러시),27,디지털 리터러시에 대한 연수 요구,"디지털 정보의 활용과 생성(자료 수집, 관리, 생성 등)에 대한 연수가 어느정도 필요하다고 생각하나요?",2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
36,7,연수내용요구(디지털리터러시),27,디지털 리터러시에 대한 연수 요구,디지털 도구를 활용한 의사소통과 문제해결에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
37,7,연수내용요구(디지털리터러시),27,디지털 리터러시에 대한 연수 요구,디지털 윤리와 정보보호에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
38,7,연수내용요구(디지털리터러시),27,디지털 리터러시에 대한 연수 요구,디지털 리터러시 기반의 수업 설계에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
39,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,미래사회와 제 4차 산업혁명에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
40,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,"미래사회의 학교교육, 교사의 역할에 대한 연수가 어느정도 필요하다고 생각하나요?",2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
41,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,학습자중심교육과 개인화 학습에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
42,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,원격교육/혼합교육 설계 방법에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
43,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,학습분석에 대한 개념과 방법에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
44,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,디지털 기술을 활용한 수업 설계 전략에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
45,8,연수내용요구(미래교육과 교수설계),28,미래교육과 교수설계에 대한 연수 요구,인공지능 융합 수업 설계 방법에 대한 연수가 어느정도 필요하다고 생각하나요?,2,매우 필요하지 않다,필요하지 않다,보통이다,필요하다,매우 필요하다,,,,,,,,,,,,
46,9,연수내용요구(기타),29,기타 내용 요구,"컴퓨팅사고력,SW/AI,디지털리터러시,미래교육과교수설계 외에 필요하다고 생각하는 연수 내용은 무엇인가요? ",3,,,,,,,,,,,,,,,,,
47,10,연수환경 및 방법,30,연수 운영 환경에 대한 선호,다음 중 선호하는 연수 운영 환경은 무엇인가요?,4,집합형(특정 장소에 모여 대면연수),방문형(소속 기관에 찾아오는 연수),온라인 실시간형,원격연수(동영상/콘텐츠),동아리/연구회형,기타,,,,,,,,,,,
48,10,연수환경 및 방법,31,연수에서 사용하는 수업 방법에 대한 선호,다음 중 선호하는 연수 수업 방법은 무엇인가요?,4,워크숍형,이론 강의형,실습/체험형,특강형,기타,,,,,,,,,,,,
49,10,연수환경 및 방법,32,연수에서 사용하는 교재에 대한 선호,다음 중 선호하는 연수 교재 유형은 무엇인가요?,4,워크북형,지식전달형,지식전달+워크북 혼합형,디지털 자료형,기타,,,,,,,,,,,,
50,10,연수환경 및 방법,33,역량기반 연수 운영 방법에 대한 선호,역량기반 연수 운영 방법에 대한 선호는 어느 정도인가요?,2,매우 낮다,낮다,보통이다,높다,매우 높다,,,,,,,,,,,,
51,10,연수환경 및 방법,34,기타의견,연수 운영 환경 및 방법에 대한 기타의견을 작성해 주세요.,3,,,,,,,,,,,,,,,,,
52,11,연수시기,35,연수 운영 시기에 대한 선호,다음 중 선호하는 연수 운영 시기는 언제인가요?,4,방학 중 평일,방학 중 주말,학기 중 평일,학기 중 주말,,,,,,,,,,,,,
53,11,연수시기,36,연수 운영 횟수에 대한 선호,다음 중 선호하는 연수 운영 시수는 어느 정도인가요?,4,8시수 이하,9~15시수,16~30시수,31~45시수,46~60시수,61시수 이상,,,,,,,,,,,
54,11,연수시기,37,자기 역량 평가 기반의 생애주기 장학에 대한 선호,자기 역량 평가 기반의 생애주기 장학에 대한 선호는 어느 정도인가요?,2,매우 낮다,낮다,보통이다,높다,매우 높다,,,,,,,,,,,,
55,11,연수시기,38,기타의견,연수 시기/시수에 대한 기타의견을 작성해 주세요.,3,,,,,,,,,,,,,,,,,
56,12,기타 연수내용요구,39,컴퓨팅사고력 관련 연수 요구,컴퓨팅사고력 관련 연수 요구나 의견에 대해 자유롭게 써 주세요.,3,,,,,,,,,,,,,,,,,
57,12,기타 연수내용요구,40,AI/SW교육 역량 관련 연수 요구,AI/SW교육 역량 관련 연수 요구나 의견을 자유롭게 써 주세요.,3,,,,,,,,,,,,,,,,,
58,12,기타 연수내용요구,41,디지털 리터러시 교육 역량 관련 연수 요구,디지털 리터러시 교육 역량 관련 연수 요구나 의견에 대해 자유롭게 써 주세요.,3,,,,,,,,,,,,,,,,,
59,12,기타 연수내용요구,42,미래교육과 교수설계 관련 연수 요구,미래교육과 교수설계 관련 연수 요구나 의견을 자유롭게 써 주세요.,3,,,,,,,,,,,,,,,,,
60,12,기타 연수내용요구,43,AIEDAP 중등교원 연수 프로그램 개발 전체,AIEDAP 중등교원 연수 프로그램 개발에 대한 기타 의견을 자유롭게 써 주세요.,3,,,,,,,,,,,,,,,,,
